Title,cites,year
Learning Procedural Abstractions and Evaluating Discrete Latent Temporal Structure,0,2018
Unsupervised speech recognition via segmental empirical output distribution matching,5,2018
Adversarial attacks on graph neural networks via meta learning,61,2019
Maximal divergence sequential autoencoder for binary software vulnerability detection,6,2018
Neural program repair by jointly learning to localize and repair,24,2019
Information-directed exploration for deep reinforcement learning,12,2018
"Attention, learn to solve routing problems!",113,2018
L2-nonexpansive neural networks,30,2018
Improving generalization and stability of generative adversarial networks,37,2019
Adaptive input representations for neural language modeling,81,2018
Neural persistence: A complexity measure for deep neural networks using algebraic topology,19,2018
Efficient augmentation via data subsampling,8,2018
Neural TTS stylization with adversarial and collaborative games,3,2018
Optimal control via neural networks: A convex approach,18,2018
CBOW Is Not All You Need: Combining CBOW with the Compositional Matrix Space Model,0,2019
Stochastic optimization of sorting networks via continuous relaxations,20,2019
Adaptivity of deep relu network for learning in besov and mixed smooth besov spaces: optimal rate and curse of dimensionality,40,2018
Generating multiple objects at spatially distinct locations,26,2019
Near-optimal representation learning for hierarchical reinforcement learning,43,2018
Understanding composition of word embeddings via tensor decomposition,3,2019
Structured neural summarization,28,2018
Graph wavelet neural network,36,2019
A rotation-equivariant convolutional neural network model of primary visual cortex,12,2018
Supervised community detection with line graph neural networks,53,2017
Multiple-attribute text rewriting,49,2018
Wasserstein barycenter model ensembling,4,2019
Policy transfer with strategy optimization,19,2018
code2seq: Generating sequences from structured representations of code,81,2018
Predict then propagate: Graph neural networks meet personalized pagerank,58,2018
Slimmable neural networks,282,2018
Analysing mathematical reasoning abilities of neural models,46,2019
RotDCF: Decomposition of convolutional filters for rotation-equivariant deep networks,13,2018
Execution-guided neural program synthesis,22,2018
Dynamic sparse graph for efficient deep learning,14,2018
Fixup initialization: Residual learning without normalization,87,2019
ProbGAN: Towards Probabilistic GAN with Theoretical Guarantees.,6,2019
Exploration by random network distillation,215,2018
Unsupervised learning of the set of local maxima,2,2020
On the convergence of a class of adam-type algorithms for non-convex optimization,88,2018
Minimum divergence vs. maximum margin: an empirical comparison on seq2seq models,6,2018
Gansynth: Adversarial neural audio synthesis,84,2019
Sliced Wasserstein auto-encoders,24,2018
Learning two-layer neural networks with symmetric inputs,22,2018
Learning to understand goal specifications by modelling reward,33,2018
Do deep generative models know what they don't know?,132,2018
Identifying and controlling important neurons in neural machine translation,37,2018
Representing formal languages: A comparison between finite automata and recurrent neural networks,3,2019
Visual explanation by interpretation: Improving visual feedback capabilities of deep neural networks,13,2017
Don't let your Discriminator be fooled,4,2018
A latent semantic model with convolutional-pooling structure for information retrieval,462,2014
A universal music translation network,59,2018
How to train your MAML,98,2018
Learning a SAT solver from single-bit supervision,123,2018
Learning representations of sets through optimized permutations,7,2018
Big-little net: An efficient multi-scale feature representation for visual and speech recognition,21,2018
Unsupervised hyperalignment for multilingual word embeddings,29,2018
Visual semantic navigation using scene priors,42,2018
NOODL: Provable online dictionary learning and sparse coding,4,2019
Stochastic gradient/mirror descent: Minimax optimality and implicit regularization,18,2018
Active learning with partial feedback,6,2018
Gradient descent aligns the layers of deep linear networks,49,2018
Data-dependent coresets for compressing neural networks with applications to generalization bounds,17,2018
On the loss landscape of a class of deep neural networks with no bad local valleys,25,2018
DOM-Q-NET: Grounded RL on Structured Language,1,2019
Boosting robustness certification of neural networks,35,2018
Learning to simulate others' decisions,144,2012
Towards understanding regularization in batch normalization,40,2018
The Laplacian in RL: Learning representations with efficient approximations,9,2018
Predicting the generalization gap in deep networks with margin distributions,34,2018
Adversarial imitation via variational inverse reinforcement learning,19,2018
Reasoning about physical interactions with object-oriented prediction and planning,38,2018
Layoutgan: Generating graphic layouts with wireframe discriminators,26,2019
Learning mixed-curvature representations in product spaces,29,2018
Strokenet: A neural painting environment,13,2018
Harmonizing maximum likelihood with GANs for multimodal conditional generation,6,2019
Measuring compositionality in representation learning,29,2019
Benchmarking neural network robustness to common corruptions and perturbations,239,2019
ADef: an iterative algorithm to construct adversarial deformations,22,2018
Discriminator-actor-critic: Addressing sample inefficiency and reward bias in adversarial imitation learning,32,2018
Doubly reparameterized gradient estimators for monte carlo objectives,35,2018
Learning recurrent binary/ternary weights,10,2018
Learning concise representations for regression by evolving networks of trees,4,2018
Efficient training on very large corpora via gramian estimation,11,2018
Mae: Mutual posterior-divergence regularization for variational autoencoders,11,2019
Residual non-local attention networks for image restoration,74,2019
Meta-learning for stochastic gradient MCMC,13,2018
Systematic generalization: what is required and can it be learned?,21,2018
Efficient lifelong learning with a-gem,108,2018
NaN,NaN,NaN
Double Viterbi: Weight encoding for high compression ratio and fast on-chip reconstruction for deep neural network,5,2018
Overcoming the Disentanglement vs Reconstruction Trade-off via Jacobian Supervision.,5,2019
Rotate: Knowledge graph embedding by relational rotation in complex space,131,2019
Guiding policies with language via meta-learning,12,2018
AdaShift: Decorrelation and convergence of adaptive learning rate methods,17,2018
AD-VAT: An asymmetric dueling mechanism for learning visual active tracking,4,2018
NaN,NaN,NaN
On self modulation for generative adversarial networks,32,2018
Off-policy evaluation and learning from logged bandit feedback: Error reduction via surrogate policy,4,2018
Subgradient descent learns orthogonal dictionaries,20,2018
Clarinet: Parallel wave generation in end-to-end text-to-speech,125,2018
Marginalized average attentional network for weakly-supervised learning,15,2019
Towards GAN benchmarks which require generalization,12,2020
A closer look at few-shot classification,203,2019
Meta-learning probabilistic inference for prediction,51,2018
Deep reinforcement learning with relational inductive biases,46,2018
Relaxed quantization for discretized neural networks,46,2018
Tree-structured recurrent switching linear dynamical systems for multi-scale modeling,14,2018
Stcn: Stochastic temporal convolutional networks,11,2019
Soft q-learning with mutual-information regularization,15,2018
On the turing completeness of modern neural network architectures,13,2019
"Improving differentiable neural computers through memory masking, de-allocation, and link distribution sharpness control",3,2019
Evaluating robustness of neural networks with mixed integer programming,142,2017
Random mesh projectors for inverse problems,3,2018
Multi-agent dual learning,18,2018
Complement objective training,9,2019
Mode normalization,10,2018
Detecting egregious responses in neural sequence-to-sequence models,10,2018
Learning actionable representations with goal-conditioned policies,23,2018
Verification of non-linear specifications for neural networks,17,2019
Generating liquid simulations with deformation-aware neural networks,3,2017
Dyrep: Learning representations over dynamic graphs,36,2018
Trellis networks for sequence modeling,26,2018
Scalable unbalanced optimal transport using generative adversarial networks,9,2018
Solving the Rubik's Cube with Approximate Policy Iteration,7,2018
Variance reduction for reinforcement learning in input-driven environments,19,2018
Model-predictive policy learning with uncertainty regularization for driving in dense traffic,33,2019
Gan dissection: Visualizing and understanding generative adversarial networks,57,2018
Improving mmd-gan training with repulsive loss function,20,2018
Deterministic PAC-bayesian generalization bounds for deep networks via generalizing noise-resilience,21,2019
Recall traces: Backtracking models for efficient reinforcement learning,38,2018
Stable recurrent models,26,2018
The limitations of adversarial training and the blind-spot attack,33,2019
Efficiently testing local optimality and escaping saddles for ReLU networks,4,2018
Proxylessnas: Direct neural architecture search on target task and hardware,407,2018
Hierarchical reinforcement learning via advantage-weighted information maximization,14,2019
Generalizable adversarial training via spectral normalization,31,2018
Adversarial domain adaptation for stable brain-machine interfaces,10,2018
Deep online learning via meta-learning: Continual adaptation for model-based rl,52,2018
Deep anomaly detection with outlier exposure,145,2018
Contingency-aware exploration in reinforcement learning,21,2018
Context-adaptive entropy model for end-to-end optimized image compression,53,2018
"Variational discriminator bottleneck: Improving imitation learning, inverse rl, and gans by constraining information flow",57,2018
Meta-learning with differentiable closed-form solvers,122,2018
Learning self-imitating diverse policies,22,2018
Proxquant: Quantized neural networks via proximal operators,33,2018
Universal transformers,176,2018
"Learning to adapt in dynamic, real-world environments through meta-reinforcement learning",74,2018
L-shapley and c-shapley: Efficient model interpretation for structured data,31,2018
Discovery of Natural Language Concepts in Individual Units of CNNs,2,2019
Towards the first adversarially robust neural network model on MNIST,107,2018
NaN,NaN,NaN
Harmonic unpaired image-to-image translation,11,2019
Universal successor features approximators,13,2018
Gradient descent provably optimizes over-parameterized neural networks,308,2018
Opportunistic learning: Budgeted cost-sensitive learning from data streams,7,2019
Darts: Differentiable architecture search,780,2018
Feature-wise bias amplification,5,2018
The relativistic discriminator: a key element missing from standard GAN,221,2018
Understanding and improving interpolation in autoencoders via an adversarial regularizer,60,2018
Quasi-hyperbolic momentum and adam for deep learning,22,2018
Local SGD converges fast and communicates little,120,2018
Learning finite state representations of recurrent policy networks,17,2018
Multilingual neural machine translation with knowledge distillation,45,2019
Misgan: Learning from incomplete data with generative adversarial networks,28,2019
A direct approach to robust deep learning using adversarial networks,19,2019
Combinatorial attacks on binarized neural networks,16,2018
Exemplar guided unsupervised image-to-image translation with semantic consistency,45,2018
ARM: Augment-REINFORCE-merge gradient for stochastic binary networks,19,2018
Building dynamic knowledge graphs from text using machine reading comprehension,30,2018
Information asymmetry in KL-regularized RL,17,2019
Timbretron: A wavenet (cyclegan (cqt (audio))) pipeline for musical timbre transfer,19,2018
NaN,NaN,NaN
NaN,NaN,NaN
On the Sensitivity of Adversarial Robustness to Input Data Distributions.,15,2019
Minimal images in deep neural networks: Fragile object recognition in natural images,7,2019
NaN,NaN,NaN
Improving sequence-to-sequence learning via optimal transport,19,2019
PATE-GAN: Generating synthetic data with differential privacy guarantees,33,2018
Integer networks for data compression with latent-variable models,5,2018
Value propagation networks,9,2018
Bayesian policy optimization for model uncertainty,13,2018
Variational Bayesian phylogenetic inference,4,2018
Learning factorized representations for open-set domain adaptation,18,2018
On the universal approximability and complexity bounds of quantized relu neural networks,9,2018
Learning localized generative models for 3d point clouds via graph convolution,23,2018
Accelerating nonconvex learning via replica exchange Langevin diffusion,6,2020
Dynamically unfolding recurrent restorer: A moving endpoint control method for image restoration,23,2018
Bias-reduced uncertainty estimation for deep neural classifiers,19,2018
CAMOU: Learning physical vehicle camouflages to adversarially attack detectors in the wild,9,2018
Learning latent superstructures in variational autoencoders for deep multidimensional clustering,8,2018
Learning programmatically structured representations with perceptor gradients,6,2019
Variational autoencoders with jointly optimized latent dependency structure,5,2018
The unusual effectiveness of averaging in GAN training,9,2019
Beyond pixel norm-balls: Parametric adversaries using an analytically differentiable renderer,26,2018
Diversity is all you need: Learning skills without a reward function,182,2018
Supervised policy update for deep reinforcement learning,9,2018
Learning sparse relational transition models,7,2018
Learning to schedule communication in multi-agent reinforcement learning,22,2019
Hierarchical RL using an ensemble of proprioceptive periodic policies,5,2018
Multi-class classification without multi-class labels,16,2019
What do you learn from context? probing for sentence structure in contextualized word representations,138,2019
Spectral inference networks: Unifying deep and spectral learning,8,2018
Peernets: Exploiting peer wisdom against adversarial attacks,20,2018
Attentive neural processes,60,2019
Representation degeneration problem in training natural language generation models,9,2019
Hierarchical interpretations for neural network predictions,31,2018
Spreading vectors for similarity search,12,2018
A convergence analysis of gradient descent for deep linear neural networks,70,2018
Feed-forward propagation in probabilistic neural networks with categorical and max layers,3,2018
Measuring and regularizing networks in function space,9,2018
Fluctuation-dissipation relations for stochastic gradient descent,20,2018
Poincar\'e GloVe: Hyperbolic Word Embeddings,50,2018
Episodic curiosity through reachability,56,2018
Phase-aware speech enhancement with deep complex u-net,22,2018
Generative predecessor models for sample-efficient imitation learning,12,2019
Adaptive estimators show information compression in deep neural networks,11,2019
Multilingual neural machine translation with soft decoupled encoding,17,2019
Approximating cnns with bag-of-local-features models works surprisingly well on imagenet,136,2019
Reward constrained policy optimization,44,2018
On the relation between the sharpest directions of DNN loss and the SGD step length,21,2018
Modeling the long term future in model-based reinforcement learning,10,2018
Understanding straight-through estimator in training activation quantized neural nets,35,2019
Distributional concavity regularization for GANs,4,2018
LeMoNADe: Learned Motif and Neuronal Assembly Detection in calcium imaging videos,2,2018
Competitive experience replay,10,2019
Multi-domain adversarial learning for slot filling in spoken language understanding,18,2017
Promp: Proximal meta-policy search,54,2018
"Don't Settle for Average, Go for the Max: Fuzzy Sets and Max-Pooled Word Vectors",16,2019
Stable opponent shaping in differentiable games,26,2018
NaN,NaN,NaN
Learning exploration policies for navigation,30,2019
Distribution-Interpolation Trade off in Generative Models,3,2018
NaN,NaN,NaN
Visceral machines: Risk-aversion in reinforcement learning with intrinsic physiological rewards,5,2018
Deep frank-wolfe for neural network optimization,11,2018
Learning to propagate labels: Transductive propagation network for few-shot learning,122,2018
Improving the generalization of adversarial training with domain adaptation,34,2018
Dimensionality reduction for representing the knowledge of probabilistic models,8,2018
Learning protein sequence embeddings using information from structure,30,2019
Variational Smoothing in Recurrent Neural Network Language Models,1,2019
Biologically-plausible learning algorithms can scale to large datasets,24,2018
Coarse-grain fine-grain coattention network for multi-evidence question answering,25,2019
NaN,NaN,NaN
"Towards robust, locally linear deep networks",15,2019
CrossTalk proposal: an important astrocyte‐to‐neuron lactate shuttle couples neuronal activity to glucose utilisation in the brain,50,2018
Learning to make analogies by contrasting abstract relational structure,15,2019
Learning what you can do before doing anything,2,2018
Learning grid cells as vector representation of self-position coupled with matrix representation of self-motion,9,2018
Universal stagewise learning for non-convex problems with convergence on averaged solutions,24,2018
Invariant and equivariant graph networks,59,2018
Robustness may be at odds with accuracy,301,2018
Feature intertwiner for object detection,5,2019
Adversarial reprogramming of neural networks,22,2018
-SGD: Optimizing ReLU Neural Networks in its Positively Scale-Invariant Space,9,2018
From Hard to Soft: Understanding Deep Network Nonlinearities via Vector Quantization and Statistical Inference,2,2018
Aggregated momentum: Stability through passive damping,19,2018
Variational autoencoder with arbitrary conditioning,30,2018
Time-agnostic prediction: Predicting predictable video frames,35,2018
"A closer look at deep learning heuristics: Learning rate restarts, warmup and distillation",28,2018
Self-monitoring navigation agent via auxiliary progress estimation,52,2019
Kernel change-point detection with auxiliary deep generative models,12,2019
Unsupervised learning via meta-learning,55,2018
Auxiliary variational mcmc,5,2018
Neural network gradient-based learning of black-box function interfaces,7,2019
Self-tuning networks: Bilevel optimization of hyperparameters using structured best-response functions,18,2019
Unsupervised control through non-parametric discriminative rewards,37,2018
Interpolation-prediction networks for irregularly sampled time series,19,2019
Riemannian adaptive optimization methods,41,2018
Minimal random code learning: Getting bits back from compressed model parameters,6,2018
Characterizing audio adversarial examples using temporal dependency,36,2018
Equi-normalization of neural networks,3,2019
Generalized tensor models for recurrent neural networks,6,2019
Wizard of wikipedia: Knowledge-powered conversational agents,105,2018
Are adversarial examples inevitable?,99,2018
A variational inequality perspective on generative adversarial networks,94,2018
Learning-based frequency estimation algorithms,25,2018
From language to goals: Inverse reinforcement learning for vision-based instruction following,39,2019
Backpropamine: training self-modifying neural networks with differentiable neuromodulated plasticity,15,2020
Recurrent experience replay in distributed reinforcement learning,65,2018
A generative model for electron paths,14,2018
Modeling uncertainty with hedged instance embedding,12,2018
Beyond greedy ranking: Slate optimization via list-CVAE,15,2018
Stochastic prediction of multi-agent interactions from partial observations,26,2019
Gamepad: A learning environment for theorem proving,34,2018
Glue: A multi-task benchmark and analysis platform for natural language understanding,696,2018
On computation and generalization of generative adversarial networks under spectrum control,8,2019
Large-scale study of curiosity-driven learning,197,2018
"Unsupervised discovery of parts, structure, and dynamics",21,2019
Music transformer: Generating music with long-term structure,42,2018
Babyai: A platform to study the sample efficiency of grounded language learning,15,2018
Analyzing inverse problems with invertible neural networks,79,2018
Relgan: Relational generative adversarial networks for text generation,32,2018
The singular values of convolutional layers,66,2018
An Empirical study of Binary Neural Networks' Optimisation,15,2018
Approximability of discriminators implies diversity in GANs,26,2018
Learning Embeddings into Entropic Wasserstein Spaces,1,2019
DeepOBS: A deep learning optimizer benchmark suite,6,2019
Infobot: Transfer and exploration via the information bottleneck,40,2019
The Comparative Power of ReLU Networks and Polynomial Kernels in the Presence of Sparse Latent Structure,1,2018
Learning implicitly recurrent CNNs through parameter sharing,13,2019
"Learning particle dynamics for manipulating rigid bodies, deformable objects, and fluids",45,2018
Regularized learning for domain adaptation under label shifts,29,2019
Von mises-fisher loss for training sequence to sequence models with continuous outputs,24,2018
Relational forward models for multi-agent learning,25,2018
Imposing category trees onto word-embeddings using a geometric construction,10,2018
Two-timescale networks for nonlinear value function approximation,9,2018
Diversity-sensitive conditional generative adversarial networks,36,2019
Query-efficient hard-label black-box attack: An optimization-based approach,90,2018
Rethinking the value of network pruning,237,2018
Hyperbolic attention networks,43,2018
Learning from positive and unlabeled data with a selection bias,13,2018
Adv-bnn: Improved adversarial defense through robust bayesian neural network,33,2018
Optimal completion distillation for sequence learning,24,2018
Caveats for information bottleneck in deterministic scenarios,21,2018
Deep learning 3d shapes using alt-az anisotropic 2-sphere convolution,7,2018
Small nonlinearities in activation functions create bad local minima in neural networks,33,2018
Information theoretic lower bounds on negative log likelihood,2,2019
Preferences Implicit in the State of the World,6,2019
A kernel random matrix-based approach for sparse PCA,2,2018
Bayesian prediction of future street scenes using synthetic likelihoods,20,2018
There are many consistent explanations of unlabeled data: Why you should average,56,2018
Large-Scale Answerer in Questioner's Mind for Visual Dialog Question Generation,2,2019
Graph hypernetworks for neural architecture search,61,2018
Delta: Deep learning transfer using feature map with attention for convolutional networks,18,2019
Texttovec: Deep contextualized neural autoregressive topic models of language with distributed compositional prior,4,2018
Amortized bayesian meta-learning,23,2018
Probabilistic recursive reasoning for multi-agent reinforcement learning,26,2019
Learning neural PDE solvers with convergence guarantees,25,2019
A new dog learns old tricks: RL finds classic optimization algorithms,5,2018
Deep Graph Infomax.,122,2019
Theoretical analysis of auto rate-tuning by batch normalization,24,2018
Per-tensor fixed-point quantization of the back-propagation algorithm,16,2018
Functional variational bayesian neural networks,51,2019
NADPEx: An on-policy temporally consistent exploration method for deep reinforcement learning,2,2018
Spigan: Privileged adversarial learning from simulation,23,2018
Generating multi-agent trajectories using programmatic weak supervision,15,2018
Label super-resolution networks,8,2018
Anytime minibatch: Exploiting stragglers in online distributed optimization,8,2020
Sample efficient adaptive text-to-speech,35,2018
Practical lossless compression with latent variables using bits back coding,17,2019
NaN,NaN,NaN
"Deep, skinny neural networks are not universal approximators",7,2018
Large scale graph learning from smooth signals,16,2017
Overcoming catastrophic forgetting for continual learning via model adaptation,20,2018
Conformational flexibility of pyruvate dehydrogenase complexes: a computational analysis by quantized elastic deformational model,36,2003
NaN,NaN,NaN
Learning when to communicate at scale in multiagent cooperative and competitive tasks,35,2018
Synthetic datasets for neural program synthesis,6,2019
DPSNet: End-to-end deep plane sweep stereo,36,2019
Conditional network embeddings,9,2018
Defensive quantization: When efficiency meets robustness,50,2019
GO gradient for expectation-based objectives,7,2019
h-detach: Modifying the lstm gradient towards better optimization,6,2018
An analytic theory of generalization dynamics and transfer learning in deep linear networks,30,2018
Differentiable learning-to-normalize via switchable normalization,60,2018
Som-vae: Interpretable discrete representation learning on time series,27,2018
Hierarchical generative modeling for controllable speech synthesis,53,2018
Learning factorized multimodal representations,39,2018
Composing complex skills by learning transition policies,14,2018
Human-level protein localization with convolutional neural networks,5,2018
Environment probing interaction policies,9,2019
Lagging inference networks and posterior collapse in variational autoencoders,75,2019
A2BCD: Asynchronous acceleration with optimal complexity,6,2018
Learning to infer and execute 3d shape programs,33,2019
Deep decoder: Concise image representations from untrained non-convolutional networks,54,2018
SNAS: stochastic neural architecture search,227,2018
Revealing interpretable object representations from human behavior,7,2019
AntisymmetricRNN: A dynamical system view on recurrent neural networks,36,2019
Global-to-local memory pointer networks for task-oriented dialogue,33,2019
Instagan: Instance-aware image-to-image translation,54,2018
Deep layers as stochastic solvers,8,2019
Learning multi-level hierarchies with hindsight,32,2017
On the convergence of adam and beyond,781,2019
Synthetic and natural noise both break neural machine translation,199,2017
Multi-scale dense networks for resource efficient image classification,139,2017
Training and inference with integers in deep neural networks,155,2018
Emergence of linguistic communication from referential games with symbolic and pixel input,75,2018
Spherical cnns,258,2018
Ask the right questions: Active question reformulation with reinforcement learning,78,2017
On the insufficiency of existing momentum schemes for stochastic optimization,42,2018
Certifying some distributional robustness with principled adversarial training,251,2017
Learning deep mean field games for modeling large population behavior,7,2017
Wasserstein auto-encoders,390,2017
Spectral normalization for generative adversarial networks,1265,2018
Learning to represent programs with graphs,194,2017
Characterizing adversarial subspaces using local intrinsic dimensionality,200,2018
Breaking the softmax bottleneck: A high-rank RNN language model,210,2017
Continuous adaptation via meta-learning in nonstationary and competitive environments,145,2017
Boosting dilated convolutional networks with mixed tensor decompositions,12,2017
Neural sketch learning for conditional program generation,47,2017
"Progressive growing of gans for improved quality, stability, and variation",1963,2017
Variance reduction for policy gradient with action-dependent factorized baselines,60,2018
Zero-shot visual imitation,111,2018
Beyond word importance: Contextual decomposition to extract interactions from LSTMs,86,2018
AmbientGAN: Generative models from lossy measurements.,65,2018
Minimal-entropy correlation alignment for unsupervised deep domain adaptation,48,2017
Large-scale optimal transport and mapping estimation,61,2017
Truncated horizon policy search: Combining reinforcement learning & imitation learning,32,2018
Model-ensemble trust-region policy optimization,131,2018
A neural representation of sketch drawings,311,2017
Deep learning with logged bandit feedback,44,2018
Learning latent permutations with gumbel-sinkhorn networks,60,2018
Learning an embedding space for transferable robot skills,90,2018
Unsupervised learning of goal spaces for intrinsically motivated goal exploration,42,2018
Multi-view data generation without view supervision,14,2017
